# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2812
# Selected columns: 25 (all)
# Timestamp: Fri, 07-Dec-2018 21:36:37
Gene ID	Gene Name	3-fold embryo Ce, hermaphrodite, organism	4-cell embryo Ce, hermaphrodite, organism	L1 larva Ce, hermaphrodite, NSM	L1 larva Ce, hermaphrodite, neuron	L1 larva Ce, hermaphrodite, organism	L2 larva Ce, hermaphrodite, motor neuron	L2 larva Ce, hermaphrodite, organism	L2d-dauer molt Ce, hermaphrodite, organism	L3 larva Ce, hermaphrodite, organism	L4 larva Ce, hermaphrodite, organism	L4 larva Ce, male, organism	adult Ce, hermaphrodite, gonad	adult Ce, hermaphrodite, organism	dauer larva Ce, hermaphrodite, organism	elongating embryo Ce, hermaphrodite, organism	embryo Ce, hermaphrodite, somatic cell	embryo Ce, male, organism	enclosing embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, pharyngeal muscle cell	gastrulating embryo Ce, hermaphrodite, organism	late cleavage stage embryo Ce, hermaphrodite, organism	newly molted young adult hermaphrodite Ce, hermaphrodite, organism	post dauer stage Ce, hermaphrodite, organism	proliferating embryo Ce, hermaphrodite, organism
WBGene00018762	F53E10.6	42.0	29.0	3.0	8.0	15.0	18.0	28.0	31.0	34.0	19.0	15.0	47.0	53.0	25.0	87.0	105.0	85.0	101.0	33.0	19.0	114.0	112.0	46.0	47.0	48.0
WBGene00018763	F53F10.1	46.0		1.0	18.0	23.0	8.0	14.0	11.0	11.0	7.0	10.0		3.0	17.0	57.0	19.0	26.0	12.0	40.0	11.0	12.0	37.0	3.0	21.0	5.0
WBGene00018764	F53F10.2	90.0	6.0	257.0	166.0	132.0	184.0	110.0	143.0	124.0	33.0	58.0	40.0	106.0	131.0	78.0	121.0	83.0	14.0	140.0	86.0	29.0	78.0	59.0	125.0	30.0
WBGene00018765	mpc-2	76.0	28.0	86.0	70.0	32.0	42.0	81.0	45.0	80.0	46.0	31.0	168.0	80.0	45.0	50.0	50.0	53.0	93.0	47.0	40.0	112.0	44.0	105.0	44.0	118.0
WBGene00018766	F53G2.1	6.0	0.2	0.1	0.4	0.9		0.2	0.3	0.1	0.1	0.4		0.3	0.5	28.0	11.0	6.0	13.0	3.0	4.0	24.0	28.0		0.7	5.0
WBGene00018767	F53G2.2		0.4			0.1	4.0	0.4		0.5	0.5	2.0		0.7	0.1	0.2	0.8	0.7	1.0	0.5	2.0	4.0	0.7	0.7		2.0
WBGene00018768	F53G2.3									0.4	0.1	0.1		0.5				0.8	0.3	0.2	0.2		0.2	0.2		0.3
WBGene00018769	mnat-1	45.0	18.0	9.0	13.0	14.0	51.0	39.0	26.0	61.0	18.0	14.0	54.0	52.0	28.0	53.0	33.0	65.0	22.0	41.0	36.0	63.0	62.0	48.0	33.0	64.0
WBGene00018770	F53G2.8					0.2	2.0			0.2	0.3	8.0		0.4				1.0	0.9	0.4	0.2	1.0	0.4	0.9		0.9
WBGene00018771	duox-2	0.4			0.5	0.2	0.1	0.2	0.1	0.1		0.2		0.1	0.1	0.2	0.3	0.1	0.1	0.6	1.0	0.3	0.3			0.3
WBGene00018772	F53G12.4	9.0	0.5		1.0	1.0	0.5	0.5	2.0	0.6	0.5	3.0	2.0	0.8	1.0	3.0	3.0	4.0	0.4	7.0	5.0	1.0	0.8	0.8	2.0	4.0
WBGene00018773	F53G12.8	0.2			0.1	0.6	3.0		0.8	1.0	4.0	17.0	4.0	2.0	0.5	0.4	2.0	0.2	1.0	0.5	0.1	0.7	0.6	10.0	0.2	0.8
WBGene00018774	F53G12.9	2.0	1.0		0.6	0.7	0.9	1.0	1.0	0.9	1.0	4.0	2.0	2.0	2.0	0.6	1.0	2.0	0.3	3.0	3.0	0.9	0.7	1.0	2.0	2.0
WBGene00018776	F53H1.1	25.0	14.0	2.0	14.0	16.0	14.0	15.0	10.0	19.0	7.0	27.0	16.0	29.0	22.0	31.0	15.0	33.0	3.0	27.0	18.0	20.0	37.0	19.0	19.0	17.0
WBGene00018777	F53H1.3	19.0	7.0	15.0	18.0	15.0	16.0	16.0	16.0	10.0	4.0	4.0	32.0	28.0	11.0	15.0	42.0	21.0	4.0	17.0	12.0	9.0	11.0	13.0	15.0	23.0
WBGene00018778	F53H1.4	11.0	22.0	0.1	6.0	6.0	7.0	14.0	8.0	12.0	5.0	37.0	26.0	45.0	9.0	25.0	15.0	56.0	2.0	23.0	13.0	27.0	31.0	21.0	7.0	37.0
WBGene00018779	F53H8.3	3.0	0.3		0.7	3.0	0.1	10.0	17.0	12.0	8.0	107.0		2.0	6.0	3.0		8.0	5.0	10.0	0.9	22.0	9.0	5.0	18.0	10.0
WBGene00018781	F54A3.2	5.0	6.0	4.0	5.0	3.0	30.0	6.0	6.0	7.0	3.0	22.0	16.0	16.0	5.0	5.0	15.0	16.0	0.8	7.0	8.0	6.0	5.0	8.0	6.0	14.0
WBGene00018782	cct-3	54.0	72.0	9.0	30.0	63.0	95.0	98.0	52.0	79.0	31.0	44.0	123.0	102.0	118.0	46.0	77.0	126.0	20.0	85.0	71.0	87.0	40.0	85.0	116.0	138.0
WBGene00018783	cbs-2		0.8		0.1	0.1		0.2		6.0	4.0	70.0	0.7	5.0	0.1		3.0	1.0	0.1	0.2	0.1	0.5		2.0		0.7
WBGene00018784	F54A3.5	206.0	28.0	46.0	36.0	21.0	35.0	170.0	57.0	170.0	63.0	26.0	101.0	79.0	46.0	147.0	24.0	104.0	242.0	128.0	196.0	264.0	149.0	95.0	43.0	362.0
WBGene00018785	F54A3.6	13.0	9.0	10.0	11.0	16.0	17.0	7.0	8.0	11.0	4.0	4.0	17.0	25.0	7.0	12.0	17.0	17.0	1.0	13.0	16.0	8.0	12.0	11.0	8.0	15.0
WBGene00018786	hmbx-1	4.0	8.0	1.0	4.0	3.0	10.0	13.0	10.0	13.0	2.0	3.0	0.4	17.0	2.0	2.0	3.0	24.0	9.0	3.0	3.0	32.0	5.0	2.0	3.0	61.0
WBGene00018787	cutl-20	9.0	0.3	7.0	4.0	8.0	7.0	10.0	12.0	10.0	3.0	4.0		2.0	5.0	21.0	11.0	31.0	10.0	34.0	11.0	7.0	35.0	0.8	7.0	5.0
WBGene00018788	shc-1	13.0	4.0	14.0	11.0	14.0	5.0	6.0	6.0	4.0	2.0	9.0	0.7	3.0	8.0	10.0	5.0	6.0	0.9	11.0	7.0	3.0	8.0	1.0	8.0	4.0
WBGene00018789	F54C1.1	0.6			0.6	6.0	0.5	2.0	4.0	4.0	1.0	3.0		0.5	2.0	0.1		0.1	0.1	2.0				2.0	6.0	
WBGene00018791	F54C1.6	10.0		0.2	3.0	5.0		2.0	3.0	0.4	0.2	0.9		0.1	6.0	6.0		5.0	0.8	12.0	4.0	0.5	2.0		2.0	0.2
WBGene00018792	F54C1.8		0.4			0.1			0.1	2.0	5.0	256.0	2.0	1.0	0.5		0.1	0.1	0.1	0.2	1.0			8.0	0.4	
WBGene00018793	mrpl-40	32.0	48.0	9.0	14.0	12.0	39.0	22.0	17.0	28.0	12.0	7.0	76.0	59.0	14.0	24.0	33.0	75.0	81.0	23.0	33.0	144.0	29.0	32.0	20.0	88.0
WBGene00018794	attf-3	19.0	27.0	6.0	10.0	9.0	11.0	8.0	8.0	6.0	3.0	4.0	45.0	33.0	8.0	21.0	45.0	42.0	4.0	19.0	15.0	18.0	21.0	12.0	7.0	58.0
WBGene00018795	F54C4.4	28.0	5.0	0.2	4.0	4.0	5.0	3.0	6.0	5.0	3.0	6.0	9.0	15.0	7.0	26.0	9.0	30.0	64.0	18.0	21.0	84.0	28.0	6.0	7.0	18.0
WBGene00018797	F54D7.2	104.0	29.0	5.0	9.0	36.0	13.0	40.0	55.0	59.0	23.0	36.0	62.0	60.0	27.0	76.0	22.0	60.0	13.0	77.0	14.0	38.0	56.0	62.0	39.0	74.0
WBGene00018798	gnrr-1	3.0	0.3	41.0	3.0	5.0	22.0	4.0	3.0	0.9	0.7	3.0		0.3	2.0	2.0	0.6	1.0	0.3	4.0	2.0	0.8	0.4	0.8	3.0	0.9
WBGene00018802	F54D8.6	45.0	17.0	2.0	13.0	17.0	18.0	19.0	14.0	24.0	9.0	69.0	23.0	29.0	18.0	44.0	25.0	55.0	5.0	55.0	23.0	16.0	40.0	22.0	15.0	19.0
WBGene00018803	fbxa-24	4.0		152.0	77.0	135.0	4.0	7.0	13.0	2.0	1.0	25.0		6.0	17.0	0.8	24.0	1.0		11.0	3.0	0.2	0.2	0.5	27.0	0.3
WBGene00018804	F54D10.3	20.0	0.8	0.4	10.0	4.0	5.0	4.0	15.0	5.0	2.0	2.0	1.0	2.0	11.0	16.0	33.0	9.0	2.0	19.0	20.0	4.0	7.0	2.0	9.0	4.0
WBGene00018805	F54D10.4	0.5			0.3	0.2		0.8	1.0	0.9	0.5	1.0	3.0	1.0	1.0			0.2	0.1	0.4		0.6	0.5	2.0	0.4	0.3
WBGene00018806	F54D10.5	14.0	30.0		4.0	6.0	3.0	3.0	7.0	3.0	2.0	2.0	76.0	42.0	10.0	9.0	30.0	25.0	12.0	8.0	2.0	25.0	15.0	28.0	8.0	42.0
WBGene00018807	fbxa-146	11.0		4.0	8.0	17.0	0.9	6.0	7.0	5.0	2.0	43.0	1.0	2.0	16.0	14.0	3.0	1.0	2.0	10.0	7.0	3.0	9.0	3.0	16.0	2.0
WBGene00018808	F54D10.7	6.0	17.0			0.2					0.4	0.4	18.0	15.0		4.0		9.0	3.0	5.0	2.0	9.0	4.0	12.0		13.0
WBGene00018809	F54D10.8		0.4		0.1	0.1		0.9	0.4	0.4	3.0	5.0					3.0	0.2	0.1	0.4			0.2	0.1		0.4
WBGene00018810	F54D10.9									0.1		0.4						0.2	0.1	0.2	0.1	0.5				0.5
WBGene00018811	pmt-2	11.0	6.0	55.0	66.0	184.0	108.0	216.0	36.0	651.0	218.0	359.0	29.0	278.0	49.0	34.0	59.0	103.0	250.0	37.0	13.0	66.0	150.0	474.0	110.0	60.0
WBGene00018812	sumv-2	38.0	19.0	7.0	18.0	23.0	21.0	17.0	20.0	19.0	6.0	17.0	48.0	60.0	19.0	44.0	46.0	47.0	6.0	32.0	25.0	37.0	43.0	17.0	21.0	64.0
WBGene00018813	F54D11.3	0.3	2.0			0.5		0.2	0.1	0.2	1.0	3.0	7.0	6.0	1.0	0.4		0.3		0.6	0.1	0.1	0.7	4.0	0.4	0.6
WBGene00018814	F54D11.4	45.0	20.0	25.0	36.0	42.0	33.0	15.0	28.0	20.0	10.0	10.0	42.0	64.0	34.0	37.0	85.0	51.0	20.0	33.0	20.0	38.0	37.0	27.0	29.0	56.0
WBGene00018815	F54D12.1	0.1				0.1				0.2	0.3	3.0	0.1					0.3		0.9			0.3			
WBGene00018816	F54D12.2	0.2									0.1	1.0							0.1	0.3	0.1	0.1				0.1
WBGene00018817	F54D12.4			0.9						0.2								0.1								
WBGene00018819	rog-1	18.0	27.0	9.0	8.0	16.0	4.0	8.0	12.0	7.0	3.0	13.0	12.0	48.0	9.0	5.0	5.0	22.0	0.6	22.0	2.0	4.0	3.0	9.0	9.0	21.0
WBGene00018820	F54D12.7								0.3			2.0			3.0				0.1						0.6	
WBGene00018821	F54D12.8					0.1					0.2	10.0		0.1				0.2	0.2	0.2		0.2				0.4
WBGene00018822	F54D12.9	5.0									0.1	179.0		0.5		3.0		4.0	0.6	3.0	0.1	0.1	0.6			0.1
WBGene00018823	F54E2.1	6.0	1.0		1.0	27.0	5.0	92.0	21.0	133.0	33.0	86.0	1.0	20.0	8.0	3.0		2.0	0.4	9.0	10.0	1.0	0.8	53.0	31.0	1.0
WBGene00018824	F54E2.2	207.0		1.0		0.3		0.1				0.2			0.1	118.0	7.0	30.0	0.9	44.0	585.0	0.6	31.0			4.0
WBGene00018825	F54E2.5				0.1	1.0		0.9	0.1	0.1		0.7			0.6				0.1	0.1	0.4	0.2			0.4	
WBGene00018826	srt-34								0.6						1.0				0.1	0.1	3.0	0.2			0.6	
WBGene00018827	pst-2	49.0	6.0	4.0	5.0	3.0	4.0	22.0	11.0	29.0	12.0	18.0	18.0	17.0	12.0	43.0	12.0	19.0	11.0	31.0	13.0	16.0	31.0	22.0	13.0	16.0
WBGene00018828	sdz-21	4.0	2.0	0.2	3.0	0.2	0.8	0.2	0.1	0.1	0.1	0.6	0.7	4.0		8.0	12.0	28.0	8.0	6.0	6.0	25.0	19.0	0.2		46.0
WBGene00018829	F54E7.6	5.0	0.3		1.0	0.5	0.2	4.0	0.1	1.0	2.0	2.0				3.0	0.6	4.0	1.0	13.0	3.0	2.0	2.0	0.3		1.0
WBGene00018830	ska-3	15.0	25.0	6.0	1.0	2.0	2.0	10.0	10.0	14.0	5.0	10.0	67.0	58.0	12.0	30.0	7.0	60.0	30.0	14.0	7.0	48.0	45.0	48.0	12.0	48.0
WBGene00018831	F54E7.9	23.0	10.0	0.6	8.0	11.0	10.0	26.0	28.0	21.0	12.0	14.0	50.0	27.0	63.0	47.0	10.0	53.0	216.0	15.0	13.0	169.0	82.0	24.0	44.0	64.0
WBGene00018833	ztf-1	10.0	9.0	0.2	6.0	9.0	2.0	4.0	7.0	6.0	2.0	3.0	47.0	15.0	14.0	9.0	7.0	9.0	1.0	8.0	4.0	3.0	6.0	17.0	10.0	8.0
WBGene00018834	F54F2.6	5.0		7.0	6.0	10.0	5.0	1.0	0.8	0.7	0.2	2.0	0.5	0.2	0.5	7.0	35.0	1.0		4.0	5.0	1.0	4.0	0.4	0.1	1.0
WBGene00018835	F54F2.7	23.0	6.0	0.5	5.0	1.0	2.0	9.0	22.0	12.0	5.0	5.0	31.0	10.0	20.0	34.0	12.0	17.0	47.0	14.0	16.0	63.0	29.0	14.0	23.0	29.0
WBGene00018836	F54F2.9	30.0	16.0		4.0	4.0	5.0	12.0	13.0	22.0	6.0	8.0	22.0	15.0	14.0	37.0	4.0	20.0	5.0	22.0	12.0	21.0	30.0	19.0	15.0	20.0
WBGene00018837	F54G2.1	10.0	1.0	90.0	120.0	40.0	164.0	18.0	38.0	8.0	2.0	6.0	0.8	3.0	31.0	3.0	2.0	5.0	0.3	19.0	8.0	2.0	2.0	2.0	30.0	4.0
WBGene00018838	F54G2.2	0.2	0.3	14.0	18.0	3.0	11.0	1.0	0.6		0.2	3.0	0.4	0.2	0.5	0.2	1.0	0.3	0.1	1.0	0.9	0.2	0.3	0.2	0.5	0.5
WBGene00018839	F54H5.2					0.1		0.5		2.0	1.0	101.0	0.5	0.8				0.2	0.1	0.8				1.0		
WBGene00018840	F54H5.3	0.1				0.1		0.2	0.2	0.2	0.7	5.0	0.9	0.5	0.1				0.3	0.6				3.0	0.2	
WBGene00018841	F54H5.5		0.3							6.0	5.0	57.0	2.0	9.0					0.3	0.1	0.1	0.1		5.0		
WBGene00018842	F54H12.2	0.1		0.1	0.5	0.6		0.1	0.3	0.1	0.1	2.0			0.8	0.4	0.1	0.3	0.1	0.8	0.9	0.5	0.9	0.1	0.3	0.4
WBGene00018844	F54H12.4	0.2			0.8	1.0	0.6	0.3	0.3	0.4	0.2	8.0		0.1	0.6	0.1	1.0	0.1		0.6	0.3	0.1	0.6	0.1	0.7	0.3
WBGene00018845	F54H12.5	3.0	6.0			0.1	0.1	0.5	3.0	1.0	0.3	0.9	5.0	3.0	3.0	5.0	2.0	6.0	17.0	3.0	2.0	61.0	9.0	6.0	1.0	10.0
WBGene00018846	eef-1B.1	270.0	270.0	94.0	203.0	259.0	256.0	701.0	449.0	653.0	341.0	259.0	899.0	729.0	870.0	237.0	492.0	633.0	3766.0	230.0	242.0	1877.0	214.0	624.0	1279.0	794.0
WBGene00018847	marc-6	35.0	26.0	11.0	20.0	31.0	12.0	21.0	26.0	27.0	10.0	34.0	47.0	38.0	22.0	29.0	73.0	43.0	2.0	46.0	20.0	14.0	26.0	29.0	27.0	36.0
WBGene00018848	F55A3.2	8.0	4.0	4.0	3.0	4.0	2.0	7.0	11.0	9.0	2.0	4.0	12.0	7.0	13.0	12.0	11.0	7.0	3.0	8.0	9.0	7.0	10.0	9.0	13.0	5.0
WBGene00018849	spt-16	108.0	80.0	51.0	71.0	54.0	108.0	83.0	71.0	66.0	19.0	36.0	261.0	151.0	83.0	103.0	150.0	144.0	19.0	101.0	46.0	68.0	105.0	87.0	67.0	206.0
WBGene00018850	gpx-8	2.0		0.1	0.7	1.0	0.1	1.0	0.8	0.9	0.6	7.0	1.0	0.5	0.9	0.3	3.0	2.0	0.3	6.0	1.0	5.0	0.3	2.0	1.0	2.0
WBGene00018851	F55A3.6	5.0		0.5	2.0	2.0		1.0	2.0	1.0	1.0	4.0	9.0	2.0	1.0	0.6	3.0	0.4		5.0	0.2			3.0	2.0	0.1
WBGene00018852	F55A3.7	0.4	0.1		0.5	0.3	0.1	0.9	3.0	5.0	0.8	2.0	4.0	2.0	4.0		0.9	0.7	0.1	1.0			0.3	5.0	4.0	
WBGene00018853	sec-22	63.0	10.0	5.0	11.0	10.0	20.0	36.0	16.0	47.0	17.0	31.0	15.0	16.0	12.0	76.0	18.0	63.0	64.0	41.0	40.0	88.0	68.0	19.0	17.0	48.0
WBGene00018854	nlf-1	110.0	0.7	69.0	82.0	49.0	265.0	21.0	22.0	10.0	3.0	6.0	0.5	2.0	12.0	28.0	24.0	26.0	0.8	101.0	54.0	2.0	9.0	2.0	15.0	5.0
WBGene00018855	F55A4.3	22.0			7.0	6.0		3.0	7.0	1.0	0.4	1.0		0.4	2.0	4.0	3.0	10.0	0.7	31.0	9.0		0.5	0.4	11.0	0.4
WBGene00018856	F55A4.4	3.0		0.1	9.0	44.0	1.0	3.0	9.0	2.0	1.0	25.0		0.9	18.0	2.0	5.0	1.0	0.5	3.0	3.0	2.0	3.0	1.0	27.0	1.0
WBGene00018857	stau-1	60.0	9.0	23.0	26.0	54.0	27.0	21.0	20.0	22.0	7.0	11.0	10.0	16.0	18.0	68.0	57.0	36.0	8.0	46.0	45.0	25.0	67.0	9.0	17.0	39.0
WBGene00018859	F55A4.7	0.1			0.1	4.0	0.1	2.0	2.0	3.0	2.0	15.0		0.7	2.0			0.9		3.0	0.3			0.7	3.0	0.1
WBGene00018860	vpat-1	16.0	1.0	0.5	3.0	7.0	1.0	9.0	13.0	9.0	6.0	7.0	0.6	3.0	10.0	14.0	1.0	14.0	6.0	15.0	6.0	18.0	13.0	5.0	13.0	7.0
WBGene00018861	cutl-21	23.0	0.2		2.0	4.0	0.8	4.0	4.0	1.0	0.4	3.0		0.3	3.0	23.0	3.0	9.0	1.0	18.0	5.0	1.0	9.0	0.3	2.0	2.0
WBGene00018862	wago-2	4.0	3.0	3.0	17.0	1.0	10.0	4.0	7.0	21.0	12.0	20.0	66.0	43.0	5.0	4.0	2.0	2.0	0.4	4.0	0.9	0.6	3.0	39.0	4.0	1.0
WBGene00018863	F55A12.2	11.0	4.0	4.0	7.0	5.0	3.0	9.0	11.0	14.0	5.0	5.0	13.0	10.0	14.0	16.0	7.0	6.0	7.0	9.0	13.0	13.0	12.0	11.0	15.0	5.0
WBGene00018864	F55A12.5	38.0	23.0	8.0	13.0	13.0	17.0	17.0	18.0	18.0	4.0	7.0	63.0	40.0	24.0	38.0	19.0	33.0	2.0	32.0	21.0	14.0	33.0	32.0	25.0	25.0
WBGene00018865	F55A12.6				0.2	0.4		0.5	0.1	0.2	0.7	38.0		0.4				0.3	0.1	0.2	0.8	0.4		2.0		0.1
WBGene00018866	nath-10	38.0	14.0	1.0	9.0	9.0	12.0	32.0	26.0	34.0	6.0	5.0	63.0	32.0	29.0	65.0	31.0	35.0	17.0	33.0	21.0	48.0	60.0	25.0	42.0	48.0
WBGene00018867	F55A12.10	1.0	5.0		18.0	0.5	4.0	2.0	5.0	8.0	3.0	7.0	25.0	27.0	11.0	3.0	1.0	4.0	0.3	1.0	0.3	0.6	1.0	21.0	7.0	3.0
WBGene00018868	F55C7.2			16.0	28.0	42.0			0.5	0.4	0.1	0.3			3.0	0.7	17.0		0.1	2.0	6.0				2.0	0.1
WBGene00018869	rfip-1	104.0	2.0	39.0	60.0	112.0	61.0	74.0	98.0	46.0	20.0	36.0	3.0	16.0	79.0	53.0	25.0	26.0	3.0	89.0	65.0	6.0	32.0	15.0	68.0	8.0
WBGene00018870	F55C12.2					0.5		0.1	0.1			1.0							0.6	0.2	2.0		0.1		0.2	0.1
WBGene00018871	F55C12.4	3.0	0.1	3.0	36.0	13.0	128.0	11.0	27.0	7.0	3.0	5.0	0.1	0.6	19.0		0.5	2.0	0.1	9.0	5.0	0.2	0.1	3.0	19.0	0.5
WBGene00018872	F55C12.5	38.0	14.0	31.0	28.0	43.0	24.0	23.0	53.0	22.0	7.0	13.0	59.0	40.0	47.0	46.0	37.0	30.0	3.0	43.0	31.0	14.0	43.0	34.0	52.0	15.0
WBGene00018873	F55C12.6	0.1				2.0		4.0	15.0	0.8	0.3	3.0		0.2	10.0		0.6			0.2	1.0		0.1	0.6	11.0	
WBGene00018874	tag-234	6.0			1.0	9.0	0.4	9.0	36.0	17.0	10.0	12.0	0.1	5.0	42.0	0.4		3.0	0.1	11.0	3.0	0.3	0.3	10.0	61.0	0.1
WBGene00018875	F55D1.1				0.7	0.3																				
WBGene00018876	F55D1.2				0.9	0.1													0.6			0.1				
WBGene00018877	aman-1	27.0	0.2	0.2	0.7	0.4	1.0	14.0	8.0	23.0	3.0	4.0	0.5	7.0	6.0	53.0	0.7	16.0	0.8	12.0	2.0	3.0	42.0	12.0	6.0	2.0
WBGene00018878	glit-1	20.0	5.0	3.0	2.0	9.0	10.0	11.0	14.0	13.0	3.0	4.0	7.0	11.0	12.0	46.0	23.0	49.0	15.0	13.0	41.0	30.0	55.0	4.0	17.0	29.0
WBGene00018879	F55D10.4	5.0		7.0	35.0	16.0	39.0	4.0	8.0	2.0	0.8	2.0	0.4	0.4	11.0	0.6	2.0	2.0	0.4	6.0	3.0	0.8	0.4	1.0	10.0	0.2
WBGene00018880	acc-3	3.0			6.0	7.0	0.2	3.0	3.0	0.7	0.5	3.0	0.3	0.4	2.0		0.7	1.0	0.4	5.0	1.0	0.4	0.3	0.4	3.0	0.3
WBGene00018881	F55E10.1					0.1						0.2						0.2	0.1		0.1					
WBGene00018882	F55E10.2											0.4									0.1					
WBGene00018883	F55E10.4				0.3	0.6		0.6				0.3														
WBGene00018884	F55E10.5				1.0	0.2		0.3	0.2			1.0			0.1			0.1		0.5	0.1					
WBGene00018885	drd-5	13.0	0.4		0.7	6.0	0.8	12.0	2.0	19.0	10.0	23.0	0.3	6.0	0.4	2.0		3.0	0.1	13.0	0.9	0.2	0.7	8.0	3.0	0.3
WBGene00018886	npr-28	4.0	0.1	251.0	36.0	61.0	13.0	10.0	14.0	7.0	2.0	3.0		3.0	12.0	0.7	3.0	2.0	0.1	8.0	4.0	0.2	0.8	3.0	11.0	0.7
WBGene00018888	F55F1.2																				0.1					
WBGene00018890	F55F8.2	26.0	15.0	1.0	17.0	25.0	15.0	23.0	34.0	30.0	6.0	6.0	40.0	22.0	44.0	63.0	14.0	23.0	18.0	27.0	18.0	45.0	60.0	30.0	49.0	15.0
WBGene00018891	F55F8.3	28.0	8.0	0.7	5.0	7.0	7.0	31.0	23.0	29.0	5.0	6.0	41.0	15.0	33.0	52.0	16.0	20.0	4.0	27.0	17.0	11.0	44.0	27.0	41.0	8.0
WBGene00018892	cir-1	37.0	26.0	0.1	13.0	25.0	15.0	20.0	22.0	34.0	13.0	12.0	44.0	58.0	28.0	70.0	3.0	68.0	16.0	37.0	20.0	53.0	66.0	41.0	34.0	39.0
WBGene00018893	wdr-12	41.0	12.0	4.0	11.0	12.0	11.0	26.0	39.0	39.0	11.0	13.0	56.0	28.0	35.0	76.0	30.0	32.0	134.0	33.0	28.0	134.0	90.0	43.0	56.0	45.0
WBGene00018894	mff-2	17.0	47.0	7.0	5.0	4.0	9.0	13.0	18.0	17.0	14.0	12.0	58.0	45.0	12.0	13.0	11.0	30.0	12.0	12.0	5.0	32.0	14.0	37.0	24.0	46.0
WBGene00018895	F55F8.7	0.2						0.1		4.0	5.0	222.0	0.3	3.0		0.1		0.5	0.1	0.5	0.1	0.1	0.3	3.0		
WBGene00018896	F55F8.8	2.0			0.1	0.7		2.0	7.0	0.7	1.0	2.0		0.1	7.0	0.1		1.0	0.2	6.0	4.0	0.6	0.4	0.4	3.0	
WBGene00018897	zipt-2.4	35.0	25.0	3.0	4.0	8.0	6.0	18.0	14.0	18.0	6.0	9.0	87.0	48.0	15.0	46.0	22.0	52.0	10.0	28.0	15.0	26.0	38.0	37.0	18.0	75.0
WBGene00018898	F55F10.1	14.0	16.0	9.0	22.0	16.0	21.0	15.0	12.0	18.0	5.0	8.0	28.0	19.0	13.0	21.0	28.0	18.0	0.7	18.0	19.0	5.0	25.0	12.0	18.0	11.0
WBGene00018899	F55G1.1	24.0	0.6		0.4	0.9	0.5	5.0	1.0	0.9	1.0	0.5	0.7	0.4	0.3	11.0	3.0	9.0	0.1	34.0	48.0	1.0	2.0	0.6		3.0
WBGene00018900	rod-1	14.0	50.0	0.1	4.0	2.0	7.0	16.0	10.0	21.0	5.0	15.0	127.0	70.0	12.0	15.0	6.0	61.0	2.0	13.0	3.0	13.0	14.0	43.0	10.0	66.0
WBGene00018901	slc-25A18.2	2.0	3.0	0.1	2.0	1.0	0.5	3.0	6.0	9.0	2.0	3.0	38.0	10.0	9.0	2.0	10.0	4.0	0.3	2.0	0.3	3.0	1.0	13.0	9.0	3.0
WBGene00018902	F55G1.6	9.0	14.0	0.2	3.0	5.0	3.0	4.0	12.0	16.0	5.0	13.0	91.0	40.0	18.0	4.0	7.0	9.0	0.7	6.0	0.6	4.0	4.0	40.0	15.0	14.0
WBGene00018903	F55G1.7	4.0	5.0		0.1	0.4		0.7	15.0	0.7	0.8	4.0	3.0	9.0	8.0	3.0	0.1	7.0		2.0	0.1	0.9	0.9	3.0	6.0	2.0
WBGene00018904	F55G1.9	12.0	8.0	3.0	4.0	5.0	15.0	11.0	9.0	17.0	9.0	5.0	26.0	21.0	12.0	21.0	34.0	17.0	20.0	10.0	10.0	28.0	24.0	20.0	14.0	14.0
WBGene00018906	egas-4	0.4			2.0	2.0		2.0	0.1	0.6	0.3	7.0		0.1	0.1		0.6	0.2	0.1	2.0	0.8			0.4		0.1
WBGene00018907	F55G1.15	6.0	0.3		0.3	3.0		3.0	1.0	6.0	2.0	18.0	0.2	1.0	1.0	1.0		2.0	0.3	9.0	1.0	1.0	0.6	3.0	4.0	2.0
WBGene00018908	fncm-1	3.0	6.0		0.4	1.0	0.2	3.0	3.0	5.0	1.0	3.0	11.0	8.0	5.0	3.0	3.0	6.0	0.6	2.0	0.9	3.0	3.0	8.0	4.0	6.0
WBGene00018909	slx-1	12.0	24.0	0.4	6.0	4.0	5.0	7.0	12.0	8.0	4.0	7.0	42.0	31.0	12.0	21.0	11.0	28.0	7.0	10.0	11.0	19.0	21.0	25.0	13.0	33.0
WBGene00018911	F56A4.3				0.9				27.0			1.0		5.0	19.0			1.0							17.0	
WBGene00018918	F56A4.10							0.3	0.2	0.1		2.0			0.1											
WBGene00018921	sago-2	0.8	0.4		0.4	0.6	0.2	3.0	1.0	5.0	1.0	3.0	0.4	1.0	0.8		0.8	0.6		1.0	0.7	0.5	0.3	3.0	1.0	0.6
WBGene00018923	eme-1	7.0	15.0	0.3	5.0	6.0	2.0	4.0	7.0	10.0	4.0	6.0	12.0	40.0	8.0	10.0	20.0	33.0	3.0	6.0	2.0	18.0	6.0	21.0	7.0	19.0
